run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53671_2026-05-08_97d1,1,0,Set1,1,1.506,in
L53671_2026-05-08_97d1,1,0,Set1,2,1.504,in
L53671_2026-05-08_97d1,1,0,Set2,1,1.506,in
L53671_2026-05-08_97d1,1,0,Set2,2,1.506,in
L53671_2026-05-08_97d1,2,20,Set1,1,1.501,in
L53671_2026-05-08_97d1,2,20,Set1,2,1.5,in
L53671_2026-05-08_97d1,2,20,Set2,1,1.5,in
L53671_2026-05-08_97d1,2,20,Set2,2,1.501,in
L53671_2026-05-08_97d1,3,40,Set1,1,1.499,in
L53671_2026-05-08_97d1,3,40,Set1,2,1.498,in
L53671_2026-05-08_97d1,3,40,Set2,1,1.497,in
L53671_2026-05-08_97d1,3,40,Set2,2,1.498,in
L53671_2026-05-08_97d1,4,60,Set1,1,1.496,in
L53671_2026-05-08_97d1,4,60,Set1,2,1.496,in
L53671_2026-05-08_97d1,4,60,Set2,1,1.496,in
L53671_2026-05-08_97d1,4,60,Set2,2,1.497,in
L53671_2026-05-08_97d1,5,80,Set1,1,1.49,in
L53671_2026-05-08_97d1,5,80,Set1,2,1.489,in
L53671_2026-05-08_97d1,5,80,Set2,1,1.49,in
L53671_2026-05-08_97d1,5,80,Set2,2,1.491,in
L53671_2026-05-08_97d1,6,100,Set1,1,1.489,in
L53671_2026-05-08_97d1,6,100,Set1,2,1.488,in
L53671_2026-05-08_97d1,6,100,Set2,1,1.488,in
L53671_2026-05-08_97d1,6,100,Set2,2,1.488,in
L53671_2026-05-08_97d1,7,120,Set1,1,1.486,in
L53671_2026-05-08_97d1,7,120,Set1,2,1.486,in
L53671_2026-05-08_97d1,7,120,Set2,1,1.486,in
L53671_2026-05-08_97d1,7,120,Set2,2,1.486,in
L53671_2026-05-08_97d1,8,140,Set1,1,1.484,in
L53671_2026-05-08_97d1,8,140,Set1,2,1.484,in
L53671_2026-05-08_97d1,8,140,Set2,1,1.484,in
L53671_2026-05-08_97d1,8,140,Set2,2,1.484,in
