run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
L53804_2026-07-07_8d0b,1,0,Set1,1,1.476,in
L53804_2026-07-07_8d0b,1,0,Set1,2,1.477,in
L53804_2026-07-07_8d0b,1,0,Set2,1,1.475,in
L53804_2026-07-07_8d0b,1,0,Set2,2,1.476,in
L53804_2026-07-07_8d0b,2,20,Set1,1,1.471,in
L53804_2026-07-07_8d0b,2,20,Set1,2,1.47,in
L53804_2026-07-07_8d0b,2,20,Set2,1,1.47,in
L53804_2026-07-07_8d0b,2,20,Set2,2,1.47,in
L53804_2026-07-07_8d0b,3,40,Set1,1,1.467,in
L53804_2026-07-07_8d0b,3,40,Set1,2,1.467,in
L53804_2026-07-07_8d0b,3,40,Set2,1,1.468,in
L53804_2026-07-07_8d0b,3,40,Set2,2,1.468,in
L53804_2026-07-07_8d0b,4,60,Set1,1,1.465,in
L53804_2026-07-07_8d0b,4,60,Set1,2,1.463,in
L53804_2026-07-07_8d0b,4,60,Set2,1,1.465,in
L53804_2026-07-07_8d0b,4,60,Set2,2,1.465,in
L53804_2026-07-07_8d0b,5,80,Set1,1,1.463,in
L53804_2026-07-07_8d0b,5,80,Set1,2,1.463,in
L53804_2026-07-07_8d0b,5,80,Set2,1,1.463,in
L53804_2026-07-07_8d0b,5,80,Set2,2,1.463,in
L53804_2026-07-07_8d0b,6,100,Set1,1,1.462,in
L53804_2026-07-07_8d0b,6,100,Set1,2,1.462,in
L53804_2026-07-07_8d0b,6,100,Set2,1,1.462,in
L53804_2026-07-07_8d0b,6,100,Set2,2,1.462,in
L53804_2026-07-07_8d0b,7,120,Set1,1,1.461,in
L53804_2026-07-07_8d0b,7,120,Set1,2,1.461,in
L53804_2026-07-07_8d0b,7,120,Set2,1,1.461,in
L53804_2026-07-07_8d0b,7,120,Set2,2,1.461,in
L53804_2026-07-07_8d0b,8,140,Set1,1,1.46,in
L53804_2026-07-07_8d0b,8,140,Set1,2,1.46,in
L53804_2026-07-07_8d0b,8,140,Set2,1,1.46,in
L53804_2026-07-07_8d0b,8,140,Set2,2,1.46,in
