run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43092_2026-05-05_316c,1,0,Set1,1,38.15,mm
MA43092_2026-05-05_316c,1,0,Set1,2,38.14,mm
MA43092_2026-05-05_316c,1,0,Set2,1,38.15,mm
MA43092_2026-05-05_316c,1,0,Set2,2,38.14,mm
MA43092_2026-05-05_316c,2,20,Set1,1,37.99,mm
MA43092_2026-05-05_316c,2,20,Set1,2,37.99,mm
MA43092_2026-05-05_316c,2,20,Set2,1,37.99,mm
MA43092_2026-05-05_316c,2,20,Set2,2,37.99,mm
MA43092_2026-05-05_316c,3,40,Set1,1,37.84,mm
MA43092_2026-05-05_316c,3,40,Set1,2,37.84,mm
MA43092_2026-05-05_316c,3,40,Set2,1,37.84,mm
MA43092_2026-05-05_316c,3,40,Set2,2,37.84,mm
MA43092_2026-05-05_316c,4,60,Set1,1,37.73,mm
MA43092_2026-05-05_316c,4,60,Set1,2,37.71,mm
MA43092_2026-05-05_316c,4,60,Set2,1,37.73,mm
MA43092_2026-05-05_316c,4,60,Set2,2,37.71,mm
MA43092_2026-05-05_316c,5,80,Set1,1,37.66,mm
MA43092_2026-05-05_316c,5,80,Set1,2,37.64,mm
MA43092_2026-05-05_316c,5,80,Set2,1,37.66,mm
MA43092_2026-05-05_316c,5,80,Set2,2,37.64,mm
MA43092_2026-05-05_316c,6,100,Set1,1,37.59,mm
MA43092_2026-05-05_316c,6,100,Set1,2,37.57,mm
MA43092_2026-05-05_316c,6,100,Set2,1,37.59,mm
MA43092_2026-05-05_316c,6,100,Set2,2,37.57,mm
MA43092_2026-05-05_316c,7,120,Set1,1,37.53,mm
MA43092_2026-05-05_316c,7,120,Set1,2,37.52,mm
MA43092_2026-05-05_316c,7,120,Set2,1,37.53,mm
MA43092_2026-05-05_316c,7,120,Set2,2,37.52,mm
MA43092_2026-05-05_316c,8,140,Set1,1,37.48,mm
MA43092_2026-05-05_316c,8,140,Set1,2,37.48,mm
MA43092_2026-05-05_316c,8,140,Set2,1,37.48,mm
MA43092_2026-05-05_316c,8,140,Set2,2,37.48,mm
