run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43177_2026-08-10_6072,1,0,Set1,1,10,mm
MA43177_2026-08-10_6072,1,0,Set1,2,10,mm
MA43177_2026-08-10_6072,1,0,Set2,1,,mm
MA43177_2026-08-10_6072,1,0,Set2,2,,mm
MA43177_2026-08-10_6072,2,20,Set1,1,9,mm
MA43177_2026-08-10_6072,2,20,Set1,2,9,mm
MA43177_2026-08-10_6072,2,20,Set2,1,,mm
MA43177_2026-08-10_6072,2,20,Set2,2,,mm
MA43177_2026-08-10_6072,3,40,Set1,1,8.9,mm
MA43177_2026-08-10_6072,3,40,Set1,2,8.9,mm
MA43177_2026-08-10_6072,3,40,Set2,1,,mm
MA43177_2026-08-10_6072,3,40,Set2,2,,mm
MA43177_2026-08-10_6072,4,60,Set1,1,8.88,mm
MA43177_2026-08-10_6072,4,60,Set1,2,8.88,mm
MA43177_2026-08-10_6072,4,60,Set2,1,,mm
MA43177_2026-08-10_6072,4,60,Set2,2,,mm
MA43177_2026-08-10_6072,5,80,Set1,1,4,mm
MA43177_2026-08-10_6072,5,80,Set1,2,4,mm
MA43177_2026-08-10_6072,5,80,Set2,1,,mm
MA43177_2026-08-10_6072,5,80,Set2,2,,mm
MA43177_2026-08-10_6072,6,100,Set1,1,3.9,mm
MA43177_2026-08-10_6072,6,100,Set1,2,3.9,mm
MA43177_2026-08-10_6072,6,100,Set2,1,,mm
MA43177_2026-08-10_6072,6,100,Set2,2,,mm
MA43177_2026-08-10_6072,7,120,Set1,1,3,mm
MA43177_2026-08-10_6072,7,120,Set1,2,3,mm
MA43177_2026-08-10_6072,7,120,Set2,1,,mm
MA43177_2026-08-10_6072,7,120,Set2,2,,mm
MA43177_2026-08-10_6072,8,140,Set1,1,2.5,mm
MA43177_2026-08-10_6072,8,140,Set1,2,2.5,mm
MA43177_2026-08-10_6072,8,140,Set2,1,,mm
MA43177_2026-08-10_6072,8,140,Set2,2,,mm
