run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43177_2026-08-10_f848,1,0,Set1,1,40.75,mm
MA43177_2026-08-10_f848,1,0,Set1,2,40.76,mm
MA43177_2026-08-10_f848,1,0,Set2,1,,mm
MA43177_2026-08-10_f848,1,0,Set2,2,,mm
MA43177_2026-08-10_f848,2,20,Set1,1,40.57,mm
MA43177_2026-08-10_f848,2,20,Set1,2,40.57,mm
MA43177_2026-08-10_f848,2,20,Set2,1,,mm
MA43177_2026-08-10_f848,2,20,Set2,2,,mm
MA43177_2026-08-10_f848,3,40,Set1,1,40.44,mm
MA43177_2026-08-10_f848,3,40,Set1,2,40.45,mm
MA43177_2026-08-10_f848,3,40,Set2,1,,mm
MA43177_2026-08-10_f848,3,40,Set2,2,,mm
MA43177_2026-08-10_f848,4,60,Set1,1,40.34,mm
MA43177_2026-08-10_f848,4,60,Set1,2,40.35,mm
MA43177_2026-08-10_f848,4,60,Set2,1,,mm
MA43177_2026-08-10_f848,4,60,Set2,2,,mm
MA43177_2026-08-10_f848,5,80,Set1,1,40.26,mm
MA43177_2026-08-10_f848,5,80,Set1,2,40.28,mm
MA43177_2026-08-10_f848,5,80,Set2,1,,mm
MA43177_2026-08-10_f848,5,80,Set2,2,,mm
MA43177_2026-08-10_f848,6,100,Set1,1,40.2,mm
MA43177_2026-08-10_f848,6,100,Set1,2,40.22,mm
MA43177_2026-08-10_f848,6,100,Set2,1,,mm
MA43177_2026-08-10_f848,6,100,Set2,2,,mm
MA43177_2026-08-10_f848,7,120,Set1,1,40.16,mm
MA43177_2026-08-10_f848,7,120,Set1,2,40.17,mm
MA43177_2026-08-10_f848,7,120,Set2,1,,mm
MA43177_2026-08-10_f848,7,120,Set2,2,,mm
MA43177_2026-08-10_f848,8,140,Set1,1,40.13,mm
MA43177_2026-08-10_f848,8,140,Set1,2,40.14,mm
MA43177_2026-08-10_f848,8,140,Set2,1,,mm
MA43177_2026-08-10_f848,8,140,Set2,2,,mm
