run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
MA43212_2026-06-25_cff7,1,0,Set1,1,39.16,mm
MA43212_2026-06-25_cff7,1,0,Set1,2,39.19,mm
MA43212_2026-06-25_cff7,1,0,Set2,1,39.16,mm
MA43212_2026-06-25_cff7,1,0,Set2,2,39.19,mm
MA43212_2026-06-25_cff7,2,20,Set1,1,38.95,mm
MA43212_2026-06-25_cff7,2,20,Set1,2,38.97,mm
MA43212_2026-06-25_cff7,2,20,Set2,1,38.95,mm
MA43212_2026-06-25_cff7,2,20,Set2,2,38.97,mm
MA43212_2026-06-25_cff7,3,40,Set1,1,38.87,mm
MA43212_2026-06-25_cff7,3,40,Set1,2,38.89,mm
MA43212_2026-06-25_cff7,3,40,Set2,1,38.87,mm
MA43212_2026-06-25_cff7,3,40,Set2,2,38.89,mm
MA43212_2026-06-25_cff7,4,60,Set1,1,38.8,mm
MA43212_2026-06-25_cff7,4,60,Set1,2,38.82,mm
MA43212_2026-06-25_cff7,4,60,Set2,1,38.8,mm
MA43212_2026-06-25_cff7,4,60,Set2,2,38.82,mm
MA43212_2026-06-25_cff7,5,80,Set1,1,38.75,mm
MA43212_2026-06-25_cff7,5,80,Set1,2,38.77,mm
MA43212_2026-06-25_cff7,5,80,Set2,1,38.75,mm
MA43212_2026-06-25_cff7,5,80,Set2,2,38.77,mm
MA43212_2026-06-25_cff7,6,100,Set1,1,38.72,mm
MA43212_2026-06-25_cff7,6,100,Set1,2,38.76,mm
MA43212_2026-06-25_cff7,6,100,Set2,1,38.72,mm
MA43212_2026-06-25_cff7,6,100,Set2,2,38.76,mm
MA43212_2026-06-25_cff7,7,120,Set1,1,38.7,mm
MA43212_2026-06-25_cff7,7,120,Set1,2,38.72,mm
MA43212_2026-06-25_cff7,7,120,Set2,1,38.7,mm
MA43212_2026-06-25_cff7,7,120,Set2,2,38.72,mm
MA43212_2026-06-25_cff7,8,140,Set1,1,38.68,mm
MA43212_2026-06-25_cff7,8,140,Set1,2,38.7,mm
MA43212_2026-06-25_cff7,8,140,Set2,1,38.68,mm
MA43212_2026-06-25_cff7,8,140,Set2,2,38.7,mm
