run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
N2681-1_2026-04-16_f834,1,0,Set1,1,41.73,mm
N2681-1_2026-04-16_f834,1,0,Set1,2,41.73,mm
N2681-1_2026-04-16_f834,1,0,Set2,1,41.73,mm
N2681-1_2026-04-16_f834,1,0,Set2,2,41.73,mm
N2681-1_2026-04-16_f834,2,20,Set1,1,41.59,mm
N2681-1_2026-04-16_f834,2,20,Set1,2,41.59,mm
N2681-1_2026-04-16_f834,2,20,Set2,1,41.59,mm
N2681-1_2026-04-16_f834,2,20,Set2,2,41.59,mm
N2681-1_2026-04-16_f834,3,40,Set1,1,41.47,mm
N2681-1_2026-04-16_f834,3,40,Set1,2,41.48,mm
N2681-1_2026-04-16_f834,3,40,Set2,1,41.47,mm
N2681-1_2026-04-16_f834,3,40,Set2,2,41.48,mm
N2681-1_2026-04-16_f834,4,60,Set1,1,41.39,mm
N2681-1_2026-04-16_f834,4,60,Set1,2,41.41,mm
N2681-1_2026-04-16_f834,4,60,Set2,1,41.39,mm
N2681-1_2026-04-16_f834,4,60,Set2,2,41.41,mm
N2681-1_2026-04-16_f834,5,80,Set1,1,41.35,mm
N2681-1_2026-04-16_f834,5,80,Set1,2,41.38,mm
N2681-1_2026-04-16_f834,5,80,Set2,1,41.35,mm
N2681-1_2026-04-16_f834,5,80,Set2,2,41.38,mm
N2681-1_2026-04-16_f834,6,100,Set1,1,41.29,mm
N2681-1_2026-04-16_f834,6,100,Set1,2,41.32,mm
N2681-1_2026-04-16_f834,6,100,Set2,1,41.29,mm
N2681-1_2026-04-16_f834,6,100,Set2,2,41.32,mm
N2681-1_2026-04-16_f834,7,120,Set1,1,41.26,mm
N2681-1_2026-04-16_f834,7,120,Set1,2,41.29,mm
N2681-1_2026-04-16_f834,7,120,Set2,1,41.26,mm
N2681-1_2026-04-16_f834,7,120,Set2,2,41.29,mm
N2681-1_2026-04-16_f834,8,140,Set1,1,41.23,mm
N2681-1_2026-04-16_f834,8,140,Set1,2,41.26,mm
N2681-1_2026-04-16_f834,8,140,Set2,1,41.23,mm
N2681-1_2026-04-16_f834,8,140,Set2,2,41.26,mm
