run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
NE37372_2026-04-29_64f9,1,0,Set1,1,40.69,mm
NE37372_2026-04-29_64f9,1,0,Set1,2,40.67,mm
NE37372_2026-04-29_64f9,1,0,Set2,1,40.69,mm
NE37372_2026-04-29_64f9,1,0,Set2,2,40.67,mm
NE37372_2026-04-29_64f9,2,20,Set1,1,40.55,mm
NE37372_2026-04-29_64f9,2,20,Set1,2,40.52,mm
NE37372_2026-04-29_64f9,2,20,Set2,1,40.55,mm
NE37372_2026-04-29_64f9,2,20,Set2,2,40.52,mm
NE37372_2026-04-29_64f9,3,40,Set1,1,40.45,mm
NE37372_2026-04-29_64f9,3,40,Set1,2,40.45,mm
NE37372_2026-04-29_64f9,3,40,Set2,1,40.45,mm
NE37372_2026-04-29_64f9,3,40,Set2,2,40.45,mm
NE37372_2026-04-29_64f9,4,60,Set1,1,40.39,mm
NE37372_2026-04-29_64f9,4,60,Set1,2,40.39,mm
NE37372_2026-04-29_64f9,4,60,Set2,1,40.39,mm
NE37372_2026-04-29_64f9,4,60,Set2,2,40.39,mm
NE37372_2026-04-29_64f9,5,80,Set1,1,40.34,mm
NE37372_2026-04-29_64f9,5,80,Set1,2,40.34,mm
NE37372_2026-04-29_64f9,5,80,Set2,1,40.34,mm
NE37372_2026-04-29_64f9,5,80,Set2,2,40.34,mm
NE37372_2026-04-29_64f9,6,100,Set1,1,40.3,mm
NE37372_2026-04-29_64f9,6,100,Set1,2,40.29,mm
NE37372_2026-04-29_64f9,6,100,Set2,1,40.3,mm
NE37372_2026-04-29_64f9,6,100,Set2,2,40.29,mm
NE37372_2026-04-29_64f9,7,120,Set1,1,40.27,mm
NE37372_2026-04-29_64f9,7,120,Set1,2,40.25,mm
NE37372_2026-04-29_64f9,7,120,Set2,1,40.27,mm
NE37372_2026-04-29_64f9,7,120,Set2,2,40.25,mm
NE37372_2026-04-29_64f9,8,140,Set1,1,40.25,mm
NE37372_2026-04-29_64f9,8,140,Set1,2,40.25,mm
NE37372_2026-04-29_64f9,8,140,Set2,1,40.25,mm
NE37372_2026-04-29_64f9,8,140,Set2,2,40.25,mm
