run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
PE35897_bug_2026-04-24_3d53,1,0,Set1,1,38.61,mm
PE35897_bug_2026-04-24_3d53,1,0,Set1,2,38.59,mm
PE35897_bug_2026-04-24_3d53,1,0,Set2,1,38.61,mm
PE35897_bug_2026-04-24_3d53,1,0,Set2,2,38.59,mm
PE35897_bug_2026-04-24_3d53,2,20,Set1,1,38.46,mm
PE35897_bug_2026-04-24_3d53,2,20,Set1,2,38.43,mm
PE35897_bug_2026-04-24_3d53,2,20,Set2,1,38.46,mm
PE35897_bug_2026-04-24_3d53,2,20,Set2,2,38.43,mm
PE35897_bug_2026-04-24_3d53,3,40,Set1,1,38.35,mm
PE35897_bug_2026-04-24_3d53,3,40,Set1,2,38.31,mm
PE35897_bug_2026-04-24_3d53,3,40,Set2,1,38.35,mm
PE35897_bug_2026-04-24_3d53,3,40,Set2,2,38.31,mm
PE35897_bug_2026-04-24_3d53,4,60,Set1,1,38.25,mm
PE35897_bug_2026-04-24_3d53,4,60,Set1,2,38.23,mm
PE35897_bug_2026-04-24_3d53,4,60,Set2,1,38.25,mm
PE35897_bug_2026-04-24_3d53,4,60,Set2,2,38.23,mm
PE35897_bug_2026-04-24_3d53,5,80,Set1,1,38.19,mm
PE35897_bug_2026-04-24_3d53,5,80,Set1,2,38.18,mm
PE35897_bug_2026-04-24_3d53,5,80,Set2,1,38.19,mm
PE35897_bug_2026-04-24_3d53,5,80,Set2,2,38.18,mm
PE35897_bug_2026-04-24_3d53,6,100,Set1,1,38.13,mm
PE35897_bug_2026-04-24_3d53,6,100,Set1,2,38.12,mm
PE35897_bug_2026-04-24_3d53,6,100,Set2,1,38.13,mm
PE35897_bug_2026-04-24_3d53,6,100,Set2,2,38.12,mm
PE35897_bug_2026-04-24_3d53,7,120,Set1,1,38.09,mm
PE35897_bug_2026-04-24_3d53,7,120,Set1,2,38.08,mm
PE35897_bug_2026-04-24_3d53,7,120,Set2,1,38.09,mm
PE35897_bug_2026-04-24_3d53,7,120,Set2,2,38.08,mm
PE35897_bug_2026-04-24_3d53,8,140,Set1,1,38.05,mm
PE35897_bug_2026-04-24_3d53,8,140,Set1,2,38.04,mm
PE35897_bug_2026-04-24_3d53,8,140,Set2,1,38.05,mm
PE35897_bug_2026-04-24_3d53,8,140,Set2,2,38.04,mm
