run_id,torque_index,torque_ftlb,set_id,meas_num,value,value_unit
PE36104_2026-05-18_f453,1,0,Set1,1,41.1,mm
PE36104_2026-05-18_f453,1,0,Set1,2,41.15,mm
PE36104_2026-05-18_f453,1,0,Set2,1,41.1,mm
PE36104_2026-05-18_f453,1,0,Set2,2,41.15,mm
PE36104_2026-05-18_f453,2,20,Set1,1,40.94,mm
PE36104_2026-05-18_f453,2,20,Set1,2,41.06,mm
PE36104_2026-05-18_f453,2,20,Set2,1,40.94,mm
PE36104_2026-05-18_f453,2,20,Set2,2,41.06,mm
PE36104_2026-05-18_f453,3,40,Set1,1,40.78,mm
PE36104_2026-05-18_f453,3,40,Set1,2,40.87,mm
PE36104_2026-05-18_f453,3,40,Set2,1,40.78,mm
PE36104_2026-05-18_f453,3,40,Set2,2,40.87,mm
PE36104_2026-05-18_f453,4,60,Set1,1,40.71,mm
PE36104_2026-05-18_f453,4,60,Set1,2,40.74,mm
PE36104_2026-05-18_f453,4,60,Set2,1,40.71,mm
PE36104_2026-05-18_f453,4,60,Set2,2,40.74,mm
PE36104_2026-05-18_f453,5,80,Set1,1,40.67,mm
PE36104_2026-05-18_f453,5,80,Set1,2,40.68,mm
PE36104_2026-05-18_f453,5,80,Set2,1,40.67,mm
PE36104_2026-05-18_f453,5,80,Set2,2,40.68,mm
PE36104_2026-05-18_f453,6,100,Set1,1,40.64,mm
PE36104_2026-05-18_f453,6,100,Set1,2,40.65,mm
PE36104_2026-05-18_f453,6,100,Set2,1,40.64,mm
PE36104_2026-05-18_f453,6,100,Set2,2,40.65,mm
PE36104_2026-05-18_f453,7,120,Set1,1,40.58,mm
PE36104_2026-05-18_f453,7,120,Set1,2,40.59,mm
PE36104_2026-05-18_f453,7,120,Set2,1,40.58,mm
PE36104_2026-05-18_f453,7,120,Set2,2,40.59,mm
PE36104_2026-05-18_f453,8,140,Set1,1,40.52,mm
PE36104_2026-05-18_f453,8,140,Set1,2,40.53,mm
PE36104_2026-05-18_f453,8,140,Set2,1,40.52,mm
PE36104_2026-05-18_f453,8,140,Set2,2,40.53,mm
