Model,torque-avg,torque-max,torque-min,shim-avg,shim-max,shim-min,target slope,preload-target-in,preload-target-mm
777 Front (DRY),22,37,10,0.12,0.17,0.05,-4826,0.0039,0.1
777 Front (WET),25,36,15,0.13,0.17,0.09,-4689.2,0.0051,0.13
785 Front,27,48,12,0.16,0.29,0.05,-4572,0.0059,0.15
789 Front,36,57,20,0.22,0.37,0.1,-4127.5,0.0063,0.16
793 Std Front,41,48,29,0.2,0.26,0.13,-5207,0.0079,0.2
793 EL Front,34,46,26,0.26,0.33,0.17,-3884.7,0.0067,0.17
797 Front,79,111,59,0.25,0.27,0.23,-8128,0.0098,0.25
730E Front,62,73,47,0.17,0.19,0.15,-7902,0.0071,0.18
830E Front,57,82,34,0.15,0.23,0.1,-9144,0.0059,0.15
930E Front,79,105,52,0.27,0.36,0.2,-7431.9,0.0106,0.27
773 Rear,17,22,11,0.13,0.15,0.1,-4233.3,0.0047,0.12
777 Rear,20,35,10,0.12,0.23,0.06,-4233.3,0.0047,0.12
785 Rear,24,42,10,0.21,0.35,0.07,-2902.9,0.0083,0.21
789 Rear,42,74,14,0.22,0.5,0.1,-4733.6,0.0087,0.22
793 Std Rear,57,80,22,0.29,0.42,0.14,-4992.4,0.0114,0.29
793 EL Rear,61,77,47,0.27,0.32,0.17,-6168.6,0.011,0.28
797 Rear,108,136,82,0.45,0.51,0.41,-6208.9,0.0177,0.45
